train_input_1,train_output_1
1,1
2,2
3,8
4,3
5,6
6,9
7,17
8,4
9,20
10,7
9999,92
10000,30
6171,262
6943,257
7963,252
9257,260
7173,120
1742,180
6482,169
2033,113
8173,159
2764,129
9510,53
8299,159
3752,26
897,68
4482,47
9254,110
7919,76
7457,71
8757,35
1787,48
191,45
9830,136
7519,89
4049,65
5246,104
5516,130
7494,89
4436,21
6352,32
5828,37
7280,45
9132,61
2356,121
7912,53
3062,62
6788,37
5110,60
8327,66
3999,189
3311,168
2993,49
4444,34
8348,115
2155,170
9825,48
5208,104
4936,135
8097,66
3907,39
8202,40
967,143
5648,130
7226,120
8463,40
2949,142
4445,34
9707,167
3060,49
9496,79
1273,32
9681,61
8976,48
2895,54
1755,43
9194,48
434,28
3529,57
9245,154
6446,24
4191,109
9534,105
7222,71
164,112
8740,110
8647,53
7761,146
3640,44
7309,133
6841,58
7977,53
8605,110
2054,38
6276,37
490,23
9172,110
7647,177
4393,140
516,124
6666,32
1488,22
7029,58
2034,157
2114,82
9214,154
7907,53
2901,23
7859,102
1062,125
8177,53
7284,45
5937,143
7239,45
1678,87
8161,177
664,114
9106,154
3659,132
1694,35
4799,166
6274,37
1740,30
122,21
4911,122
6690,138
8360,35
5459,161
6231,63
4029,96
441,28
9041,185
7940,53
7045,107
1094,32
9892,123
277,17
5104,60
1630,136
6455,107
1960,25
2787,36
1209,58
628,39
1681,43
2680,72
9039,92
9021,141
6677,138
8931,48
1089,45
3206,62
3079,155
1481,35
2837,36
2333,33
8651,53
4402,140
9266,110
884,117
480,23
9330,136
4420,96
6684,45
8008,146
2862,28
6826,19
391,121
8371,40
237,35
5881,50
1512,110
3124,124
9238,154
6402,169
2367,90
560,18
9497,53
4325,140
2489,41
9305,92
7322,133
4897,166
3501,31
9232,35
8213,40
9032,40
6253,156
4684,60
4601,60
2287,121
8028,45
6110,94
6696,45
3502,31
5882,50
2882,142
3941,26
2190,77
5387,148
test_input_1,test_output_1
2428,46
293,118
2653,28
7784,102
6680,138
2378,77
6356,32
9571,74
6183,156
7798,146
7692,53
3866,26
3086,111
4220,171
3246,137
687,39
3182,106
6030,94
8532,35
5543,205
2011,43
8576,35
9838,105
7021,45
8899,71
1444,48
795,104
9354,61
5670,81
7532,89
9358,48
5228,179
1799,69
2848,36
5984,50
8260,128
6230,63
105,39
6110,94
5849,143
1918,131
7595,133
4448,47
8583,79
6431,125
8501,128
2065,126
7528,133
648,26
1185,151
2399,72
1478,22
3851,145
7590,71
6488,138
4850,166
2117,33
3903,176
3839,114
425,59
1329,53
8239,159
4372,34
9406,61
6277,37
7070,151
9667,74
919,130
9852,211
2320,121
6636,45
9614,123
1009,112
5876,50
9545,79
6132,50
4100,39
2521,41
8133,115
7408,133
2283,59
2024,113
500,111
8375,66
3868,145
1717,105
1776,74
2631,191
6525,138
7932,53
910,42
566,62
9558,79
8608,35
5927,73
7721,115
9078,185
5976,50
4555,60
5290,117
9421,35
8514,40
5591,68
332,113
9747,123
2453,41
8903,97
8794,35
6850,58
5811,50
607,44
607,44
7371,45
513,36
7995,53
8617,172
1582,79
9715,167
3086,111
3075,155
1903,131
3007,155
8680,48
3909,101
3261,137
4328,47
9441,105
8864,22
6678,94
917,37
6230,63
5932,143
7362,133
1169,58
5071,86
8212,40
141,16
467,85
1302,102
4176,34
4316,52
6903,58
4438,96
7400,133
5232,148
3462,150
1100,94
356,33
9834,43
3280,31
5156,148
7328,40
126,109
5268,55
9182,172
7979,53
3487,132
7438,45
9598,167
5725,29
7157,102
5304,29
7562,40
8990,79
450,54
1850,131
8051,71
1761,105
4011,189
5737,112
730,96
114,34
5110,60
3887,52
5927,73
6761,89
1022,63
8373,128
5591,68
9493,79
4079,65
7437,133
7668,58
9296,123
7260,58
8747,48
5314,55
7359,146
8987,92
3008,111
7816,102
5586,112
7774,53
5339,47
373,20
3363,44
8705,172
9497,53
1855,118
2429,46
8209,40
1955,100
4564,109
5921,187
5009,91
841,42
1509,66
4224,34
1604,22
3913,145
8296,128
8275,97
4945,122
1518,61
6030,94
8144,53
9679,167
9425,154
8361,115
9946,74
8645,35
4927,210
8080,66
5853,143
2191,77
6133,50
3073,111
1467,141
3551,88
7673,58
5116,135
2419,59
2606,103
8349,115
1902,30
9629,74
2603,103
5278,148
2469,134
94,106
7435,45
9026,185
4043,26
690,127
1364,14
2339,59
6723,45
852,16
5504,37
8984,48
295,56
1255,89
6933,32
7771,115
5572,37
7048,120
998,50
4875,122
3860,26
