train_input_1,train_output_1
[],0
[-10],0
[-9],1
[-8],0
[-7],1
[-6],0
[-5],1
[-4],0
[-3],1
[-2],0
[-1],1
[0],0
[1],1
[2],0
[3],1
[4],0
[5],1
[6],0
[7],1
[8],0
[9],1
[10],0
[-947],1
[-450],0
[303],1
[886],0
[0 0],0
[0 1],1
[7 1],2
[-9 -1],2
[-11 40],1
[944 77],1
[483 -269 -437 507 19 49 -631 23 -759 979 -447],11
[-23 559 -421 -157 -5 -893 -485 -497 -21 -535 -367 955 819 -565 -939 415 901 307 635 945 581 417 -981 885 -325 359 -33 -845 511 -493 499 -3 -437 463 -571 209 -909 267 863 -565 -19 -421 143 445 -131 61 -231 -363],48
[-583 -131 925 719 -719 179 -525 197 -137 205 -799 731 -85 -119 291 529 -377 951 903 -93 -989 347 -605 863 591],25
[-993 -57 -701 883 -729 541 189 819 207 311 351 -551 399 335 351 -705 573 -681 579 -849 -781 -999 419 495 -77 -1 -663 525 267 223 479 -475 669 617 409 -901 221 225 -655 773],40
[-161 991 -939 727 985 -681 -447 -823 -649 427 -173 -37 37 -509 -149 873 879 145 -955 -707 553 217 -969 973 355 867 -863 833 847 159 763 -567 601 -935],34
[-107 -843 645 -221 157 -225 -609 57 805 -959 665 -715 125],13
[-799 311 355 371 -549 309 621 -529 693 -839 -293],11
[195 49 -575 -301 -579 -555 789 259 301 -119 451 -261 139 -557 -819 -31 -539 441 31 599 665 871 95 -223 -953 -391 -873 -313 -841 479 -543],31
[329 -415 -201 187 -915 635 201 -955 821 -33 -925 121 -971 -517 -597 -87 751 -203 -135 -43 -3 -935 371 -95 797 -909 -807 905 -371 -687 179 -199 -887 147 -595 805 -605 467 265 -93],40
[758 688 696 34 582 -92 -426 -824 18 88 -292 -64 -122],0
[-200 -426 -134 -668 188 -630 318 360 778 552 -866 848 390 -646 310 246 836 954 418 -746 472 606 -156 -452 -490 258 132 400 792 -584 -918 534 -892 728 346 -562 -896 142 -740 -590 -512 -628 -560 252 46],0
[612 -146 166 250 -536 -326 514 900 -372 430 970 -374 124 114 -394 298],0
[234 58 -954 -168],0
[-278 392 270 922 -922 50 -352 410 884 -904 272 -672 -890 582 -564 504 -552 426 -748 -364],0
[368 -54 -480 -476 -512 580 374 920 -888 -650 -684 184 612 -626 -562 438 -510 -860 -364 248 398 -852],0
[-212 -54 320 368 792 -268 -622 -134 -2 896 92 438 978 744 570 -688 344 452 848 878 960 992 -456 -384 -180 380 38],0
[56 926 922 712 -872 926 910 984 358 356 -920 -16],0
[728 -404 -164 212 466 656 760 296 870 -972 -878 -56 -424 -288 -278 580 -452 -234 356 -922 608 448 -112 -676 -488 490 104 -58 -902 -316 136 578 -394 -844 568 950 -998 42 -898 794 604],0
[-134 -956 -577 -655],2
[-796 -788 820 614 984 861 -89 -665 -844 -278 748 -983 -592 704 -465 524 -492 121 669 458 -75 512 -804 536 838 626 578 -109 628 -622 367 322 506 658 406 -512 -824 -44 52 -660 -594 -527 -936 862],11
[-330 900 -371 806 -548 -14 -267 -304 -612 320 -237 141 568 -1000 -530 -38 -798 591 488 -626 972 -758 -722 399 374 356 -339 754 881 908 -338 -70],8
[4 -376 -596 834 910 804 -290 236 -18 188 448 -52 -886 -706 358 -936 -158 490 -874],0
[412 97 -306 32 830 -790 -476 -856 -708 -775 -134 -278 882 294 338 912 -8 -92 -58 -362 918 -742 172 668 905 364],3
[525 -949 -701 111 261 -683 -159 825 -329 -525 -629 -541 -29 755 341 -134 -759 923 -383 553 157 591 -825 933 255 313 -891 18 -223 -381 -917 955 -19 663 961 -673 769 873 -517],37
[658 974 -28 690 -276 -118 -952 85 762 881 120 -834 827 75 -32 544 -883 534 997 -997 801 -541 -82 -46 581 66 505 -343 745 -392 935 520 665 308 -626 -574 114 -337 -875 -17 178 213 -644 -7 689 997 181 -474],23
[799 909 -235 -307 -547 -949 -369 941 173 -305 851 739 667 589 759 -161 333 -381 -711 215 -699 -629 241 143 657 -325 561 -505 565],29
[273],1
[-500 120 -119 769],2
[588 -134 -22 -631 -786 389 124],2
[252 372 -222 165 972],1
[-507 -837 -871 79 885 -99 -842 973 227 396 -1000 -159 184 -615 -506 -742 -577 919 -838 411 -33 113 -311 1000 -338 -118 -613 -953 -851 -834 657 -777 -901 -871 -808 -636 901 -753 -320 789 688 475 26],27
[76 800 548 -2 -664 400 -264 -142 -54 300 128 -554 -829 86 -736 -24 448 -948 -224 -760 816 -519 -718 -610 752 -680 486 -364 -234 -756 -324 -564 920 156 -876 830 662 808 321 -612 -592 -125 -768 -662 -362 466 338 -220 -130],4
[-920 927 32 -63 -522 367 -896 -806 -870 125 554 318 -276 75 -582 -515 -259 -309 -638 -56 -815 855 31 61 -292 -702 228 279 -256 562 528 715 221 42 790 -18 391 -956 942 212 389 538 201],18
[-542 744 -553 566 92 -512 -113 -364],2
[762 527 -93 376 -12 -924 564 -939 789 -239 -912 -910 83 26 -569 -586 518 131 67 -871 553 31 -641 -898 97 469 -827 995 -645 -199 -557 -823 354 -90 362 895],22
[753 67 263 -433 497 -27 -599 355 -177 951 529 -453 617 547 -927 185 -387 6 711 180 -563 -551 439 109 127 527],24
[266 -410 60 -158 -355 211 -298 6 22 231 -292 -384 392 563 849 -388 104 -165 649 674 -377 -469 -386 -528 179 -910 458 77 416 998 474 947 500 -828 775 -282 759 -240 -985 -458 -540 -853 506 -422 870 -535 -775 -426],18
[449 463 907 -327 768 288 -759 992 -195 -308 -372 -588 609 -289 -261 -886 -834 -796 343 817 -575 696 921 -340 -777 896 -872 902 -663],15
[-431 -896 -13 123 -1 313 -829 857 -148 -169 739 248 -513 -849 594 -444],11
[882 624 146],0
[-173 -531 837 -180 -768 383 91 997 544 470 -117 779 -310 48 -628 821 -147 -368 767 806],11
[675 -307 -282 -468 -665 -768 121 -364 -182],4
[-135 -281 -291 -337 110 219 -963 350 -161 -754 -765 -299 -502],9
[786 -760 -808 726],0
[285 -109 153 615 -965 695 674 -425 742 -122 -750 -820 -64],7
[899 583 -436 3 986 873 -624 -843 357 -995 623 381 391 175 198 173 179 -441 -585 461 359 851 887 29 -451 -573],22
[-73 -967 -494 515 89 -991 454 -125 -539 167 -770 -862 337 661 -15 -447 -287 -655 -591 908 557 862 263 -87 -72 -853 -863 -300 -285 -159 -667 37 -65 702 -33 -9 -599 -523 -691 628 608 753],31
[-187 633 -268 663 454 -657 745 378 195 -525 -680 -387 167 45 -234 587 389 741 -288 716 709 953 -846],15
[421 658 -195 535 33 -181 961 -123 -801 361 291 -701 -216 -273 988 -903 -189 323 49 899 -707 -603 -357 -170 564 55 859 -859 986 -95 421],25
[-265 776 -707 717 583 909 67 313 -677 -958 655 -468 203 -779 570 -431 -123 608 -309 97 -927 985 -791 683 -807 588 -737 119 -967 -515 -243 507 336 868 -563 423 823 507 -293 554 447 375 186 -104 431 605 630 -186 -117],36
[636 -51 358 -411 -688 -207 831 460 431 924 958 200 102 -45 915 60 -923 827 -592 -229 757 -234 -987 503 478 707 -248 -708 -189 -330 643 -72 -165 -240],17
[984 -775 -973 -926 -374 -110 146 -764 -296 776 -915 462 211 -625 707 126 -955 -811 -579 -904 -291 784 853 890 477 -52 -212 -654 -970 -477 -831 -634 399 -256 533 -362 -264 -769 421 -155 690 234 -673 719 519],22
[853 -11],2
[920 -151 254 686 197 -38 -868 674 150 401 630 -682 -800 972 417 -866 -824 739 786 -235 -497 720 -832 678 607 -598 -600 348],8
[-437 -353 569 941 -748],4
[903 891 917 -673 -372 -395 614 368 -560 887],6
[-731 467 -455 947 -995 9 526 -602 -115 967 972 -215 -788 784 360 908 -485 739 229 946 134 -346 -482 371 -324 675 43 380 878 412 142 596 -832 169 -923 -453 -521 346 -842],19
[812 28 -151 -416 506 -830 -738 -961 -162 967 770 805 509 -6 988 -374 -173 -412 -151 -579 -972 -554 -495 204],9
[450 -4 -590 690 -626 -826 -322 322 446 -798 -216 -98 -64 50 -858 96 722 384 -654 -778 -796 -370 854 282 116 -512 698 420 -920 220 -960 40 -74 -586 -276 238 4 -726 184 -320],0
[-99 215 275 -552 -547 678 242 -385 701 87 -301 742 984 705 -476 -243 51 422 959 479 -515 -629 -334 941 -221 -906 561 -231 833 45 -575 -258 -651 -497 -932 -331],25
[493 241 612 771 -449 -61 -286 -349 256 589 801 -479 662 305 132 584 133 -417 811 31 469 -337 -723 747 -222 227 -76 343 761 -77 831 902 -723 -204 338 734 815 61 735 267 205 219 791 853 465 -983 -784 779 -911 719],37
[288 857 -756 179 868 25 -488 -946 -60 806 -424 -143 984 -976 -93 725 986 -226 -745 -448 420 -926 292 -700 -904 774 -368 -695 783 152 -609 80 795 -40 396 376 -747 772 703 229 730 -691 -176 370 294 -480 -216 -12],15
[-646 219 -728 -859 909 483 744],4
[843 849 595 317 -109 677 413 -503 -60 -167 787 -857 -153 -503 -29 -121 583 521 411 835 -767 602 367 548 -45 833 -523 -599 67 -39 457 -973 689],30
[-316 728 572 -309 -393 -594 954 -869 -188 -118 -841 750 -167 514 -703 26 -234 -793 828 -222 -384 -979 752 -56 780 -292 305 -164 102 888 528 -830 425 56 904 114 -507],11
[733 -596 778 -309 -610 -585 -402 518 -973 176 -604 64 -461 -888 67 -314 -790 540 -298],6
[577 395 -412 759 -594 24 -298 -820 -436 -714 226 -65 579 -837 239 40 749],8
[-484 -321 -377 101 -909 -671 -401 -648 345 33 -371 -951 -673 -803 28 339 625 629 -209 391 127 -869 941 -835 -985 -65 971 517 -76 -167 -173 -11 495 725 -562],30
[458 658 -706 -794 -108 -180 -282 -868 192 346 -798 420 -144 -126 968 -330 526 -954 -312 532 708],0
[480 296 16 -988 855 -530 -38 791 -981 996 -911 159 230 223 -940 948 -921 -280 -62 868 798 -531 118 -456 -822 -404 513],9
[-374 15 469 516 609 203 -974 883 -336 -364 436 -790 6 111 604 -466 703 588],7
[-671 -747 397 721 -6 155 280 -121 -477 -783 905 765 -262 -739 563 568 817 248 -9 643 49 -27 -979 -694 -91 196 -193 749 -209 -938 -605 134 -921 169 -534 -573],26
[-388 -814 874 102 -651 666 -566 200 -34 -542 -224 830 -414 -958 -604 510 -748 -8 214 -350 102 758 606 44 486 -893 -276 -574 -62],2
[-752 -819 714 115 834 -560 -456 -354],2
[483 -25 -600 393 -951 -839 -859 679 -317 -153 -705 -734 -439 853 -593 -137 531 -291 399 893 953 499 -441 167 423 621],24
[-344 -700 -673 64 -686 25 622 676 813 218 -506 807 785],5
[-302 -256 -93 -622 -920 431 768 944 498 235 948 -571 -709 200 466 850 -265 186 666 685 292 -556 509 -618 -419 -693 -526 -880 -806 -375 382 20 -764 214 -440 -441 74 -686 -60 745],13
[115 750],1
[-956 930 -686 517 -953 -552 555 -534 43 -877],5
[959 -719],2
[-377 383 821 -627 -347 -539 301 -910 611 219 149 -197 -557 -457 -226 -220 -861 -771 33 700 -651 -917 -853 -769],20
[848 563 315 169 -899 15 429 495 951 -745 929 -333 -970 425 375 269 827 -1 -137 967 -605 703 481 955 41 -159 -103 511 655 -43 755 -153 -505 -921 217 813 409 761 51 525 917 -565 329 337 -133 603 949 485 -405],47
[-466 -886 -226 -768 -838 -73 504 -380 -708 -34 -602 -248 -188 125 -11 -134 462 440 692 26 -356 -310 606 -804 764 -554 -16 -762 590 182 -724 453 762 568 696 204 457 -318 86 914 344 -268 517 -66 794 138 -122 194 220 -288],6
[-257 -429 -643 -823 747 441 659 349 -64 -389 793 -751 529 728 45 -799 -299 -915 531 29 327 333 113 935 -641 -320 51 -389 -565 157 15 -137 855 429 -305 -157 837],34
[296 1000 688 890 600 -616 -650 -828 428 628 -552 -922 906],0
[-815 -544 -205 -251 -689 -826 -315 995 607 -391 337 -747 -849 589 791 -385 67 -545 -926 -69 -319 -605 609 900 -529 -913 391 -782 -516 -802 -551 -637 -569 805 801 876],28
[-951 621 249 343 -701 -649 263 -547 -501 -851 279 473 939 -519 -855 -237 653 799 193 -47 167 -111 231 725 37 -167 -153 453 213 309 -527 -743 -697 999 -411 -661 819 -329 -585],39
[767 395 -733 387 443 -87 419 -885 909 425 261 685 -159 394 -103 -453 561],16
[-231 -449],2
[-568 -674 200 56 -263 735 -829 356 -858 -886 586 204 -198 505 -555 233 -610 590 -450 55 228],7
[89 791 959 -803 773 825 391 -541 -527 765 703 -615 -727 75 -348 -801 871 522 397 -288 629 -821 521 757 -277 -949 806 538 -967 -377 -12 689 544 -312 151 -805 -823 145 -672 802 -289 320 995 683],33
[915 407 395 625 901 353 -493 -17 355 136 269 -741 443],12
[762 -626 448 -778 -384 932 106 738 -594 864 -187 84 -800 -955 -96 -419 444 432 -132 -413 270 344 264 81 864 329 1 -266 -950 -562 -684 -23 -521 -734 -486 120 -28 -160 132 -259 -606],10
[-262 -924 748 -887 -28 -166 -474 564 -268 -822 -514 900 -146 54 -142 -832 -140 -272 270 -506 328 426 -312],1
[920 488 -556 39 700 -306 532 166 384 -575 -341 -548 4 819 -759 622 -73 -914 -316 -959 -9 728 362 571 -956 306 -247 -500 427 -18 929 275 48 467 -478 -640 860 -545 -592 742 -924 -663 -646 -300 -228 -962 122 -520 548],16
[-512 508 -630 304 920 736 78 -804 767 -469 241 -731 -722 605 -254 2 -876 -714 757 228 711],7
[-174 -190 -642 -220 104 -870 -16 671 -586 -249 -349 -358 -860 -157 414 -264 -496 210 728 117 155 310 -526 806 -816 -507 -614 297 -582 688 -652 534 -343],9
[816 738 819 317 -740 -717 -436 -33 -53 505 -685 482 426 -361],8
[739 401 -391 275 999],5
[443],1
[265 -161 -315 427 413 379 -561 -717 -619 -543 819 309 -367 613 847 105 -27 -615 -915 119 577 -763 -349 695 283 -501 479 321 -817 -569],30
[-992 986 -133 420 858 298 784 266 56 871 -936 212 616 402 -232 -36 -672 -42 814 885 -758 588 -13 702 -160 650 -401 -320 -640 912 -956 322 12 522 419 -414],6
[165 -61 -723 -75 -203 -533 -695 -26 -647 -859 -77 -461 -539 -601 731 273 -659 -805 -967 961 -707 601 191 -853 -477 867 735 -433 -481 -963 313 400 95 -337 377 605 -489 -341 509 937 -675 115 -645 -155 -481 -512],43
[-508 -568 80 294 656 -204 -540 -200 -168 40 246 876 -356 -811 918 168 -730 76 -514 744 648 -794 728 -640 472 636 -320 532 -508 472 330 792 676],1
[-11 781 -68 -87 825 -756 -949 -99 -309 247 -495 -148 773 793 973 923 19 303 -379 -353 -821 -673 -805 31 -605 669 73 505 -451 435 297 -905 213 -243 -94 -247 285 449 811 179 711],37
[728 -712],0
[-371 -727 717 -37 -179 -523 672 -896 -243 -273 -478 238 -471 587 827 133 759 913 -655 -285 875 449 856 471 -389 -417 270 61 691 -957 195 152 779 119 -139 508 995 517 33 -325 -158 149 -121 -394 -971 -804 -585 301 -399 -836],38
[531 -95 -39 -338 571 591 467 140 279 -679 819 -405 -769 -89 3 -929 -853 335 65 -840 883 875 -125 -425 631 825 777 -669 122 615 -189 -695 -576 708 23 -961 792 -667 -418 -701 114 666 -519 -114 683],34
[641 623 -139 108 289 -234 587 123 113 -379 -475 -366 518 860 -818 703 -6 484 -796 675],11
[-839 -921 133 -401 513 803 -546 -407 -583 817 -817 -903 -273 -84 941 -391 -554 -999 49 731 -263 -589],19
[-750 -966 -605 -460 650 -803 -450 110 151 825 799 137 -478 -400 757 551 157 -145 -935 60 597 965 579 -966 -776 10 185 934 -171 -503 55 -321 -979 -263 209 -268 135 796 571 838 -473 746 899 869],27
[825 -356 -543 655 571 41 -263 92 -35 -791 -905 -935 -171 495 -529 -44 497 843 217 763 -713 -765 357 832 1 -163 -607],23
[448 208 826 926 800 137 976 940 -383 -227 -851 290 955 -667 430 -879 23 -504 570 -656 32 -154 83 -148 414 -491 -819 -597 606 170 921 -420 -237 -680 -490 52 -313 -181],16
[-404 445 363 -550 -897 -439 979 -787 913 -246 758 -105 794 253 605 599 -659 -235 189 488 -915 -765 -539 -639 209 687 997 325 -967 -531 -119 381 -131 776 -983 -97 697 -33 906 -723 567 436],33
[-232 92 316 -282 16 -574 -68 766 690 -314 -26 452 895 18 -697 -660 -165 -264],3
[-350 176 607 -717 931 150 -668 115 -918 -292 542 48 -980 -299 778 -866 -996 57 -113 -608 -629 -162],8
[-125 -928 8 -469 247 -287 -47 282 955 -555 -211 -345 56 -563 -959 -345 1 641 554 -539 -87 -401 -937 -515 445 -296 311 269 592 -747 -51],24
[-68],0
[262 -722 -246 738 -248 -878 -10 148 870 450 -696 948 -80 -304 -842 722],0
[812 -383 834 -810 6 150 104 -945 -108 -729 -56 1000 -984 128 -250 476 588 520 -492 -347 -448 164 302 -733 545 -160 -982 452 360],6
[-371 -3 -899 -613 -183 643 -203 -471 -415 295 -501 57 847 -819 -857 907 207 671 179 -529 475 657 271 -153 469 213 869],27
[503 -705 -413 901 647 603 837 111 -465 -851 -269 -755 -391 -903 -647 -325 -943 83 -195 166 663 265 669 457 -191 641 919 733 571 45 -227 575 -679 -747],33
[906 -766 -210 -790 -510 -62 -816 -988 414 896],0
[889 -18 -414 -416 -958 882 -525 174 -523 262 -834 -264 -228 -241 -274 -878 770 -481 -172 -496 252 441 79 -24 148 -331 897 -571 619 -538 480 740 -655 -271 -894 -541 -819 180],15
[-898 483 462 -518 165 -482 -428 -66 920 -158 976 656 -970 858 -86 594 -734 -608 568 964 -330 686 -886 -738 -944 -946 724 265 -914 516 -606 64 738 -88 -496 -458 566],3
[-540 -424 380 -714 -800 288 234 732 386 628 -998 438 -708 -968 410 706 134 140 150 674 -106 243 518 272 -84 -766 -233 -989 -940 -696 -936 106 826 740 754 470 -582 -882 -78 -948 106 904 -892 130 -252 236],3
[550 548 -104 691 -626 510 -540 431 -954 617 -776 -411 853 -34 -148 -20 259 130 -754 -764 -852 776 -836 -882 799 600 378 614 388 709 766 -499 -490],9
[742 -237 -570 -52 -201 908 688 -869 789 -394],4
[-204 55 485 276 -921 854 -429 242 32 -598 925 314 646 -864 317 731 474 -688 -406 217 -995],9
[714 -174 -484 244 748 -964 782 138 -930 -861 -586 -962 419 -257 568 -516 254 -482 660 976 -312 106 -912 -872 -146 -182 246 -760 -538 398],3
[-960 -336 198 -480 -844 663 -360 689 94 26 512 -359 344 736 888 384 602 924 792 -296 46 -478 -803 60 101 -102 292 -366 274 928 -610],5
[-928 432 502 920 -856 942 -170 -682 824 -626 -798 373 478 354 -408 306 -130 -660 -384 -592 -694 20],1
[188 -630 660 -200 738 -166 -38 -794 268 246 486 -590 6 -436 164 312 46 -788 -720 914],0
[738 848 -376 -820 -436 -84 -952 -298 74 -784 -274 -484 -172 -120 906 672 989 -544 -982 -483 -824 -946 -44 948 286 -74 796 16 -878 516 -778 -436 -602 -918 676],2
[-962 -677 579 61 542 -671 -415],5
[-345 145 -379 -376 319 -903 751 614 497 193 666 595 -849 233 515 567 -296 558 495 -859 -523 -109 95 -232 305 -161 -449 15 445 716 159 1 -658 785 -37 43 883 -802 367 -422 533 929 -215 -683 -157],35
[639 -647 80 397 -93 77 837 -234 -88 -808 347 161 535 -585 754 605 359 912],12
[554 -853 939 800 305 888 991 -619 409 956 -793 223],8
[-991 871 555 -767 -723],5
[992 156 688 482 -508 92 -747 814 -64 152 -494 -244 -632 -150 -131 -370 -872 -2 -122 -600 -494 998 -938],2
[160 422 158 -935 682 118 642 -936 -954 916 485 -180 -887 736 -940 740 -252 777 811 -594 99 20 222 -140 996 778 -589 673],8
[679 -541 -899 162 -502 47 -681 -361 87 421 891 411 503 118 735 576 595 -430 -361 431 -22 86 -216 598 -664 -286 -84 18 333 -678 110 -175 123 217],19
[-811 -695 -830 -953 -751 -455 -831 285],7
[824 820 -190 -29 -391 -413 337 391 677 -594 615 341 -885 696 789 263 605 -972],12
[830 746 245 -873 -956 452 -871 947 809 -309 -400 -971 -984 813 171 -868 970 872 -246 -36 -141 -562 981 -708 606 -189 -756 433 767 747 -368 356 -676 149],16
[-604 320 -1000 -407],1
[-638],0
[-870 861 -540 80 6 -306 327 790 314 -484 292 602 768 -680 326 -206 -8 -982 40 -394 -796 -750 104 314 954 674 -98 -286 -378 -392],2
[700 -984 -672 716 -821 -160 610 180 -280 -566 774 -516 -416 886],1
[-931 -226 -323 115 -550 326 -138 240 -664 -811 996 135 -463 -58 -153 634 -558 -646 -192 94 -643 -995 457 285 196 86 741 579 -738 127 517 -161 -607 -685 495 359 -904 377 474],21
[451 456 827 -99],3
[-363 -93 -167 -365 965 414 -88 -801 -591 45 -113 -47 607],11
[827 244 50 152 -215 -161 473 979 893 885 576 445 -596 -127 -394 298 189 -781 929 -320 -105 -86],13
