train_input_1,train_input_2,train_input_3,train_output_1
-8,84,7,7
14,88,-78,14
78,-23,51,51
-10,-3,-94,-10
-93,24,-10,-10
47,-64,-86,-64
-51,35,7,7
0,-6,30,0
13,81,73,73
-64,4,31,4
12,61,-60,12
69,35,23,35
53,83,-14,53
52,75,1,52
-58,-4,-61,-58
-24,-9,30,-9
85,-9,18,18
-53,52,21,21
-85,-93,-98,-93
-44,93,14,14
-79,73,29,29
0,-88,-54,-54
85,4,-99,4
-78,-1,35,-1
74,55,-95,55
-32,-82,5,-32
0,15,-64,0
22,65,-24,22
64,-15,-80,-15
-22,-65,87,-22
-32,-100,-19,-32
-67,-63,87,-63
-81,-13,-4,-13
51,-88,52,51
64,92,-72,64
-18,-6,-84,-18
-71,-97,-72,-72
-44,-86,-80,-80
-63,-94,-71,-71
17,-81,83,17
-99,-22,12,-22
-33,-54,31,-33
36,-51,37,36
-55,-18,-29,-29
-92,34,100,34
80,-49,67,67
-30,-43,-46,-43
-32,-59,15,-32
98,-7,-7,-7
59,-17,-75,-17
-41,-31,90,-31
-22,-24,-12,-22
-50,-43,-55,-50
-44,40,22,22
68,-14,24,24
-89,-78,-96,-89
-51,59,-31,-31
-94,86,-92,-92
-94,-79,-93,-93
-23,-54,-86,-54
47,47,41,47
-24,67,-24,-24
-39,-39,-48,-39
94,53,94,94
-49,-30,-49,-49
13,56,13,13
-51,-36,-36,-36
92,54,92,92
88,88,-82,88
82,82,-56,82
-10,-73,-73,-73
68,-51,68,68
14,-74,-74,-74
7,39,7,7
17,100,17,17
26,-31,26,26
20,83,20,20
-59,-35,-35,-35
0,0,66,0
82,82,-12,82
-76,71,-76,-76
80,-24,80,80
15,47,47,47
-11,29,29,29
4,4,-99,4
-23,60,-23,-23
-37,77,77,77
-65,-65,96,-65
69,-71,-71,-71
-73,82,-73,-73
21,21,21,21
-97,-97,-97,-97
-35,-35,-35,-35
98,98,98,98
-44,-44,-44,-44
65,65,65,65
-51,-51,-51,-51
-11,-11,-11,-11
-64,-64,-64,-64
11,11,11,11
test_input_1,test_input_2,test_input_3,test_output_1
98,63,-85,63
34,-95,-41,-41
-49,13,11,11
-44,55,77,55
73,-86,51,51
91,95,-75,91
-75,79,-87,-75
-62,-25,-99,-62
-84,55,-54,-54
-11,-3,64,-3
-17,-54,8,-17
-29,-64,17,-29
-42,48,67,48
33,-74,-93,-74
97,0,91,91
-19,69,-38,-19
-44,-70,-57,-57
47,56,-42,47
-93,-16,-10,-16
81,33,13,33
-50,-98,69,-50
19,4,-51,4
-73,-24,3,-24
53,91,74,74
19,-15,-25,-15
-35,15,-83,-35
72,15,-30,15
-63,-86,55,-63
-61,82,-9,-9
-32,-37,-58,-37
37,71,-96,37
67,-86,-92,-86
-67,-100,55,-67
-47,-34,-22,-34
41,-100,-90,-90
-16,-11,19,-11
-89,-34,-53,-53
22,48,77,48
73,-56,71,71
-16,37,-58,-16
29,83,-36,29
14,84,97,84
65,-48,-21,-21
-27,-27,-20,-27
-62,-80,-100,-80
19,24,23,23
-25,-38,64,-25
29,52,92,52
-48,-60,-63,-60
-85,-76,76,-76
1,-46,-50,-46
57,-34,45,45
-65,-70,-83,-70
90,57,-4,57
78,-4,-91,-4
87,31,99,87
33,-30,33,33
-95,79,-31,-31
65,34,58,58
-72,42,62,42
-85,-47,-33,-47
50,-92,75,50
-51,-69,-44,-51
-77,-59,-8,-59
-48,4,-28,-28
36,-6,-73,-6
35,-90,12,12
86,-73,-36,-36
-2,33,29,29
-14,-25,89,-14
-9,-30,34,-9
-44,35,-6,-6
-92,-28,-83,-83
-37,97,97,97
10,55,-16,10
-70,74,-19,-19
80,87,25,80
-84,8,60,8
34,-86,-9,-9
1,79,-95,1
52,-11,75,52
24,20,-62,20
88,54,81,81
3,-78,88,3
-6,80,-80,-6
-68,55,87,55
85,30,77,77
-72,49,73,49
67,79,-3,67
28,96,-46,28
53,-76,35,35
-60,3,60,3
-66,-20,16,-20
-45,-15,-98,-45
2,83,33,33
32,15,-19,15
-25,-86,-52,-52
-65,84,-30,-30
-35,28,-68,-35
79,-99,32,32
40,-67,-60,-60
67,10,100,67
43,-78,32,32
23,-30,58,23
-43,19,22,19
-85,-68,10,-68
-46,-4,-23,-23
18,-22,53,18
55,41,-20,41
97,-2,-76,-2
43,85,69,69
-4,-75,-72,-72
51,-25,-66,-25
-15,-72,-10,-15
69,54,-27,54
23,-50,40,23
-85,13,-16,-16
