train_input_1,train_input_2,train_output_1
,,
,hi,
ThereWorld,,
A,A,
B,C,0 B C
&,#,0 & #
4,456789,
rat,hat,0 r h
new,net,2 w t
big,bag,1 i a
STOP,SIGN,"1 T I
2 O G
3 P N"
abcde,a,
abcde,abcde,
abcde,edcba,"0 a e
1 b d
3 d b
4 e a"
2n,nn,0 2 n
hi,zipper,0 h z
dealer,dollars,"1 e o
2 a l
4 e a"
nacho,cheese,"0 n c
1 a h
2 c e
3 h e
4 o s"
loud,louder,
qwertyuiop,asdfghjkl;,"0 q a
1 w s
2 e d
3 r f
4 t g
5 y h
6 u j
7 i k
8 o l
9 p ;"
LALALALALA,LLLLLLLLLL,"1 A L
3 A L
5 A L
7 A L
9 A L"
!!!!!!,.?.,"0 ! .
1 ! ?
2 ! ."
9r2334,9223d4r,"1 r 2
4 3 d"
WellWell,wellwell,"0 W w
4 W w"
TakeThat!,TAKETHAT!!,"1 a A
2 k K
3 e E
5 h H
6 a A
7 t T"
CHOCOLATE^,CHOCOLATE^,
ssssssssss,~~~~~~~~~~,"0 s ~
1 s ~
2 s ~
3 s ~
4 s ~
5 s ~
6 s ~
7 s ~
8 s ~
9 s ~"
>_=]>_=]>_,q_q_q_q_q_,"0 > q
2 = q
3 ] _
4 > q
6 = q
7 ] _
8 > q"
()()()()(),pp)pp)pp)p,"0 ( p
1 ) p
2 ( )
3 ) p
4 ( p
6 ( p
7 ) p
8 ( )
9 ) p"
HaHaHaHaHa,HiHiHiHiHi,"1 a i
3 a i
5 a i
7 a i
9 a i"
L+#B,L+#:,3 B :
.\0q=A<',.\0qCA<'=,4 = C
CG},CG,
YsTUiY,Yj4U,"1 s j
2 T 4"
m@T,m!T,1 @ !
/7[xJ06|,/7ax'hm,"2 [ a
4 J '
5 0 h
6 6 m"
?XK12/t,?XK72/9P,"3 1 7
6 t 9"
k#Ens,kpETs,"1 # p
3 n T"
m2N%T[,m~N%M[,"1 2 ~
4 T M"
Gm^18E>K,03lz8/>K,"0 G 0
1 m 3
2 ^ l
3 1 z
5 E /"
Dx'e{,*G'j{D,"0 D *
1 x G
3 e j"
aN&]Of6,cN&]Mf6,"0 a c
4 O M"
"(aRDW^\5,+","raADW^\5,+","0 ( r
2 R A"
d~,[~,0 d [
P+Yet!,"`N,Gt!6","0 P `
1 + N
2 Y ,
3 e G"
2h@X80,2h@X80^,
%tX,%tX,
EE4=,oEI,"0 E o
2 4 I"
"""%!","""%",
n^\LE,n^oK7,"2 \ o
3 L K
4 E 7"
P-,P--,
\WlX6m-P~,\WlX6m-BD,"7 P B
8 ~ D"
Yirq\af?2,Yir(0af?,"3 q (
4 \ 0"
ZQvi,rjvr,"0 Z r
1 Q j
3 i r"
mM,mM,
<rJ,<rP=,2 J P
:(7,:(7,
^9]mM,D9CIM,"0 ^ D
2 ] C
3 m I"
"A<FoYrVA,5","AO`o!rVA,T","1 < O
2 F `
4 Y !
9 5 T"
o5r,o5r,
$n/Mw:V$,pn/pw:V,"0 $ p
3 M p"
)[c,)[c2,
"LX<D/o;p,",UU<s/o;p2,"0 L U
1 X U
3 D s
8 , 2"
^M%g,OM!g,"0 ^ O
2 % !"
b,b8,
xlZ,jlZT,0 x j
qB{b<y|,q7*b<y|,"1 B 7
2 { *"
XO8,5O8,0 X 5
"B;k?_""[?#","+;]i_""[?R","0 B +
2 k ]
3 ? i
8 # R"
Vo,>n$,"0 V >
1 o n"
K@,K/wC,1 @ /
No,N,
,XGv,
"3=,",3=,
U,U:9[(Lf6=J,
a:G=*?oF,o:2=*?o.#,"0 a o
2 G 2
7 F ."
w]O,x],0 w x
|/\qRs*,"""A\\RB*","0 | ""
1 / A
3 q \
5 s B"
$M&',$M&',
"lfCC""/DE","lfCC""/D:",7 E :
r}{QF{k^d.,r|{QF{/^d.,"1 } |
6 k /"
