train_input_1,train_output_1
1,0.66667
2,0.88889
3,0.71111
4,0.85333
5,0.73143
6,0.83592
7,0.74304
8,0.8256
9,0.75054
10,0.81878
11,0.75579
12,0.81393
198,0.78736
199,0.78345
200,0.78734
152,0.78795
120,0.78862
98,0.78933
101,0.78159
107,0.7818
122,0.78857
110,0.78891
79,0.78057
154,0.78792
161,0.78299
92,0.78959
100,0.78926
20,0.80345
62,0.79156
155,0.7829
40,0.7948
35,0.77486
130,0.78838
109,0.78187
180,0.78756
114,0.78879
17,0.76501
64,0.79137
159,0.78296
168,0.78771
93,0.78128
163,0.78302
34,0.79638
135,0.78254
187,0.78332
121,0.78221
174,0.78763
156,0.78789
67,0.77973
191,0.78337
139,0.78262
18,0.80527
176,0.78761
125,0.78231
59,0.77899
118,0.78868
132,0.78833
194,0.7874
183,0.78328
96,0.78942
189,0.78334
36,0.7958
179,0.78323
123,0.78226
175,0.78318
171,0.78313
42,0.79437
71,0.78004
24,0.80064
112,0.78885
82,0.79009
103,0.78167
80,0.7902
30,0.79776
16,0.80751
145,0.78273
52,0.7927
29,0.77283
193,0.78339
49,0.77774
84,0.78998
44,0.79398
47,0.77743
144,0.78809
73,0.78018
90,0.78968
136,0.78825
170,0.78768
48,0.79329
25,0.77099
178,0.78758
55,0.77854
60,0.79176
169,0.78311
148,0.78802
69,0.77989
102,0.78918
43,0.77672
197,0.78343
70,0.79087
53,0.77829
192,0.78742
129,0.78241
188,0.78747
162,0.7878
68,0.79103
65,0.77956
78,0.79032
111,0.78193
88,0.78977
22,0.80193
115,0.78205
108,0.78898
105,0.78174
41,0.77632
99,0.78152
104,0.78911
76,0.79045
166,0.78774
13,0.75967
46,0.79362
37,0.77539
85,0.7809
186,0.78749
134,0.78829
23,0.76985
182,0.78754
157,0.78293
143,0.78269
61,0.77919
89,0.78109
196,0.78738
165,0.78305
190,0.78745
21,0.76851
146,0.78806
137,0.78258
158,0.78786
66,0.79119
150,0.78799
58,0.79197
184,0.78751
54,0.79244
185,0.7833
83,0.78079
15,0.76265
27,0.77198
28,0.7986
151,0.78284
97,0.78144
test_input_1,test_output_1
81,0.78068
75,0.78031
39,0.77588
50,0.79299
195,0.78341
124,0.78852
140,0.78817
32,0.79703
142,0.78813
38,0.79528
147,0.78277
31,0.77359
113,0.78199
149,0.7828
177,0.78321
172,0.78766
74,0.79058
106,0.78904
127,0.78236
160,0.78783
72,0.79072
141,0.78266
77,0.78044
57,0.77877
91,0.78119
95,0.78136
116,0.78873
131,0.78245
164,0.78777
51,0.77802
63,0.77938
167,0.78308
87,0.781
128,0.78842
19,0.76693
153,0.78287
45,0.77709
14,0.81031
33,0.77426
117,0.78211
26,0.79955
138,0.78821
119,0.78216
86,0.78987
56,0.7922
94,0.7895
126,0.78847
173,0.78316
181,0.78326
133,0.78249
