train_input_1,train_output_1
.,"words of length 1: 1
number of sentences: 1
average sentence length: 1.0"
!,"words of length 1: 1
number of sentences: 1
average sentence length: 1.0"
?,"words of length 1: 1
number of sentences: 1
average sentence length: 1.0"
	.,"words of length 1: 1
number of sentences: 1
average sentence length: 1.0"
"
!","words of length 1: 1
number of sentences: 1
average sentence length: 1.0"
 ?,"words of length 1: 1
number of sentences: 1
average sentence length: 1.0"
.#,"words of length 1: 0
words of length 2: 1
number of sentences: 1
average sentence length: 1.0"
"A.
","words of length 1: 0
words of length 2: 1
number of sentences: 1
average sentence length: 1.0"
"! 
","words of length 1: 1
number of sentences: 1
average sentence length: 1.0"
"?	
","words of length 1: 1
number of sentences: 1
average sentence length: 1.0"
"
?
","words of length 1: 1
number of sentences: 1
average sentence length: 1.0"
.!?.!?,"words of length 1: 0
words of length 2: 0
words of length 3: 0
words of length 4: 0
words of length 5: 0
words of length 6: 1
number of sentences: 6
average sentence length: 0.1666666667"
.txt,"words of length 1: 0
words of length 2: 0
words of length 3: 0
words of length 4: 1
number of sentences: 1
average sentence length: 1.0"
!RACECAR!,"words of length 1: 0
words of length 2: 0
words of length 3: 0
words of length 4: 0
words of length 5: 0
words of length 6: 0
words of length 7: 0
words of length 8: 0
words of length 9: 1
number of sentences: 2
average sentence length: 0.5"
www.google.com,"words of length 1: 0
words of length 2: 0
words of length 3: 0
words of length 4: 0
words of length 5: 0
words of length 6: 0
words of length 7: 0
words of length 8: 0
words of length 9: 0
words of length 10: 0
words of length 11: 0
words of length 12: 0
words of length 13: 0
words of length 14: 1
number of sentences: 2
average sentence length: 0.5"
Pirate basketball? Envelope WARS!,"words of length 1: 0
words of length 2: 0
words of length 3: 0
words of length 4: 0
words of length 5: 1
words of length 6: 1
words of length 7: 0
words of length 8: 1
words of length 9: 0
words of length 10: 0
words of length 11: 1
number of sentences: 2
average sentence length: 2.0"
.hello there wo.RLD,"words of length 1: 0
words of length 2: 0
words of length 3: 0
words of length 4: 0
words of length 5: 1
words of length 6: 2
number of sentences: 2
average sentence length: 1.5"
out. at. the. plate.,"words of length 1: 0
words of length 2: 0
words of length 3: 1
words of length 4: 2
words of length 5: 0
words of length 6: 1
number of sentences: 4
average sentence length: 1.0"
nap time on planets!,"words of length 1: 0
words of length 2: 1
words of length 3: 1
words of length 4: 1
words of length 5: 0
words of length 6: 0
words of length 7: 0
words of length 8: 1
number of sentences: 1
average sentence length: 4.0"
supercalifragilisticexpialidocious?,"words of length 1: 0
words of length 2: 0
words of length 3: 0
words of length 4: 0
words of length 5: 0
words of length 6: 0
words of length 7: 0
words of length 8: 0
words of length 9: 0
words of length 10: 0
words of length 11: 0
words of length 12: 0
words of length 13: 0
words of length 14: 0
words of length 15: 0
words of length 16: 0
words of length 17: 0
words of length 18: 0
words of length 19: 0
words of length 20: 0
words of length 21: 0
words of length 22: 0
words of length 23: 0
words of length 24: 0
words of length 25: 0
words of length 26: 0
words of length 27: 0
words of length 28: 0
words of length 29: 0
words of length 30: 0
words of length 31: 0
words of length 32: 0
words of length 33: 0
words of length 34: 0
words of length 35: 1
number of sentences: 1
average sentence length: 1.0"
"


































































































.","words of length 1: 1
number of sentences: 1
average sentence length: 1.0"
