train,
1,1
2,2
3,8
4,3
5,6
6,9
7,17
8,4
9,20
10,7
9999,92
10000,30
6171,262
6943,257
7963,252
9257,260
6819,138
9692,74
6817,138
4807,122
5521,130
8791,128
9911,74
159,55
9741,136
9461,61
5864,99
1926,51
9610,61
9435,154
2829,129
2690,116
9248,35
2952,23
4460,96
1631,136
3794,70
6900,45
4802,166
5615,68
959,130
2599,147
354,33
429,103
6436,76
5330,55
871,179
2012,69
6435,76
4568,34
6404,63
4258,127
7147,102
9802,136
5648,130
5001,65
7024,58
317,38
2141,25
2247,77
8850,48
5726,81
8425,203
8558,79
2730,15
4120,127
95,106
7627,84
6549,45
4690,153
6460,76
3514,57
422,41
9104,61
9432,61
1768,118
4251,83
7952,27
9952,92
3093,124
3012,23
4318,127
9230,92
5077,42
1056,32
7329,102
7165,102
3587,119
6188,37
513,36
4083,65
4464,47
846,34
9801,105
607,44
8231,53
255,48
3253,44
6016,112
589,119
7361,133
8714,48
3090,62
6320,81
7137,50
5403,73
2747,67
6785,89
3905,101
2569,54
2737,41
1123,45
8689,48
195,120
1678,87
3648,39
5200,29
3534,150
4633,109
9378,154
8486,110
6744,45
629,39
6374,125
7222,71
4524,39
144,24
4813,60
9355,198
1563,154
8154,66
2817,85
6195,187
6963,58
4060,39
8673,141
3195,75
3932,145
8700,79
2429,46
9773,48
4803,166
8659,53
9835,167
8992,48
6351,200
8214,40
5446,55
1788,100
3727,70
682,13
8473,58
5870,143
59,33
1355,115
1046,125
6315,63
7211,120
4572,34
113,13
7925,102
4530,65
5417,68
4567,60
666,114
8093,159
1625,136
2900,23
2994,49
7087,58
1104,19
3689,101
7875,128
6036,68
7921,53
1200,19
1960,25
4222,171
2146,25
9457,61
515,124
6480,32
2061,126
6189,37
3716,132
2754,160
685,127
4106,39
6492,138
4143,65
6646,120
4315,127
1459,35
8470,58
7802,146
4160,34
3186,124
412,90
9858,43
3141,124
test,
8664,141
6783,182
4493,47
3851,145
6628,76
720,21
9092,141
1004,68
3189,124
383,46
696,34
4812,60
9246,154
6807,63
7569,133
3969,145
6328,81
1901,30
1847,69
8568,172
914,130
3627,57
2639,147
2746,129
1555,35
350,82
8107,66
2994,49
8680,48
2317,33
2795,67
1606,22
1783,48
2469,134
5625,161
809,47
2363,59
9293,185
3016,67
751,140
4318,127
1355,115
7010,58
3071,155
9956,43
1938,51
1783,48
7966,53
4690,153
4980,91
5714,174
9490,53
9632,22
4415,171
3907,39
2223,183
9263,141
5227,55
614,39
9006,40
8751,53
5103,86
6268,63
2572,28
5725,29
5969,94
479,54
5309,55
5805,143
5357,29
6997,120
6578,138
1996,51
4138,127
5242,148
1242,89
9577,154
152,24
7947,53
5360,73
3386,36
922,37
4552,60
8670,66
6646,120
4348,140
2477,134
601,57
977,99
3173,80
9594,74
5021,91
300,17
4882,73
7676,133
6161,37
3139,36
9183,172
3535,150
4021,70
6817,138
7272,19
2526,178
4764,52
5568,37
3780,39
5098,60
4137,96
7590,71
8718,172
348,33
2310,33
4516,39
5664,37
387,121
1618,48
8345,115
533,31
602,18
4769,78
2590,41
7616,40
8694,185
1725,43
7874,128
7747,53
9659,167
3857,52
3969,145
8126,66
3754,26
2079,51
2656,116
9956,43
2064,126
1586,79
8884,35
9237,35
5481,42
2743,116
4422,96
998,50
4331,127
8296,128
7287,164
574,44
8498,128
980,24
1444,48
4478,140
7273,133
2982,93
6391,76
5731,29
9968,136
3056,49
9609,74
6933,32
2763,41
9559,79
1107,138
3536,119
4262,78
6537,107
9336,35
6311,107
7018,58
3460,150
4693,122
7316,133
7999,190
2914,36
5534,99
4834,21
9980,74
1219,133
2009,25
1812,17
3077,36
2082,126
1584,30
9011,40
6060,143
3273,137
2658,54
7555,133
1476,22
1372,128
5374,99
5696,37
2094,126
168,11
4133,158
3183,62
7373,133
4497,47
1976,51
8848,141
2133,33
9153,154
555,31
5238,104
5589,37
1457,35
6381,76
5598,68
4490,47
3587,119
9720,167
6105,112
6456,76
7450,40
8600,27
7557,84
6041,68
6021,42
9896,30
9840,74
4388,140
8415,110
7100,89
620,88
428,103
1767,149
8075,71
3099,137
3198,75
837,42
5289,55
9747,123
2261,20
4561,60
7214,45
3443,57
8249,66
9996,180
1651,136
6548,45
6610,50
6867,151
1261,40
2638,147
4560,109
8535,128
7452,71
5355,99
8060,97
6571,63
25,24
1058,32
8634,53
323,100
3104,124
2230,95
5287,78
6405,63
7949,97
6542,138
5053,179
468,23
650,26
849,60
4525,39
8333,128
