train_input_1,train_input_2,train_input_3,train_input_4,train_input_5,train_output_1
80,70,60,50,85,Student has a A grade.
80,70,60,50,80,Student has a A grade.
80,70,60,50,79,Student has a B grade.
80,70,60,50,75,Student has a B grade.
80,70,60,50,70,Student has a B grade.
80,70,60,50,69,Student has a C grade.
80,70,60,50,65,Student has a C grade.
80,70,60,50,60,Student has a C grade.
80,70,60,50,59,Student has a D grade.
80,70,60,50,55,Student has a D grade.
80,70,60,50,50,Student has a D grade.
80,70,60,50,49,Student has a F grade.
80,70,60,50,45,Student has a F grade.
90,80,70,60,100,Student has a A grade.
90,80,70,60,0,Student has a F grade.
4,3,2,1,5,Student has a A grade.
4,3,2,1,4,Student has a A grade.
4,3,2,1,3,Student has a B grade.
4,3,2,1,2,Student has a C grade.
4,3,2,1,1,Student has a D grade.
4,3,2,1,0,Student has a F grade.
100,99,98,97,100,Student has a A grade.
100,99,98,97,99,Student has a B grade.
100,99,98,97,98,Student has a C grade.
100,99,98,97,97,Student has a D grade.
100,99,98,97,96,Student has a F grade.
98,48,27,3,55,Student has a B grade.
98,48,27,3,14,Student has a D grade.
98,48,27,3,1,Student has a F grade.
45,30,27,0,1,Student has a D grade.
45,30,27,0,0,Student has a D grade.
48,46,44,42,40,Student has a F grade.
48,46,44,42,41,Student has a F grade.
48,46,44,42,42,Student has a D grade.
48,46,44,42,43,Student has a D grade.
48,46,44,42,44,Student has a C grade.
48,46,44,42,45,Student has a C grade.
48,46,44,42,46,Student has a B grade.
48,46,44,42,47,Student has a B grade.
48,46,44,42,48,Student has a A grade.
48,46,44,42,49,Student has a A grade.
68,67,59,35,10,Student has a F grade.
71,55,29,22,15,Student has a F grade.
85,45,42,39,59,Student has a B grade.
82,28,15,1,90,Student has a A grade.
100,99,72,27,72,Student has a C grade.
99,36,31,18,35,Student has a C grade.
99,68,67,10,56,Student has a D grade.
80,41,40,4,84,Student has a A grade.
47,36,23,0,0,Student has a D grade.
64,60,29,19,75,Student has a A grade.
100,83,69,10,70,Student has a C grade.
97,92,91,59,63,Student has a D grade.
52,48,10,4,41,Student has a C grade.
96,70,44,32,18,Student has a F grade.
59,23,11,6,19,Student has a C grade.
74,72,40,38,44,Student has a C grade.
68,45,39,29,89,Student has a A grade.
89,80,72,1,20,Student has a D grade.
75,71,27,6,61,Student has a C grade.
89,60,53,49,55,Student has a C grade.
97,60,37,0,97,Student has a A grade.
52,49,43,9,86,Student has a A grade.
68,56,34,10,29,Student has a D grade.
92,75,59,1,49,Student has a D grade.
84,35,29,17,88,Student has a A grade.
80,41,27,22,95,Student has a A grade.
85,71,65,49,82,Student has a B grade.
