train_input_1,train_input_2,train_output_1
[],[],true
[1],[1],true
[1],[0],false
[0],[1],false
[16],[-44],false
[-12],[-13],false
[1 2],[2 1],true
[1 1],[0 1],false
[7 0],[0 7],true
[5 8],[5 8],false
[34 12],[34 12],false
[456 456],[456 456],true
[-431 -680],[40 831],false
[1 2 1],[1 2 1],true
[1 2 3 4 5 4 3 2 1],[1 2 3 4 5 4 3 2 1],true
[45 99 0 12 44 7 7 44 12 0 99 45],[45 99 0 12 44 7 7 44 12 0 99 45],true
[24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],[24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],true
[33 45 -941],[33 45 -941],false
[33 45 -941],[33 -941 45],false
[33 45 -941],[45 33 -941],false
[33 45 -941],[45 -941 33],false
[33 45 -941],[-941 33 45],false
[33 45 -941],[-941 45 33],true
[682 -756 -505 -487 946 -488 533 721 -511 428 -166 -686 -518 -676 -294 -433 -700 678 949 -520 -214 -322 510 -718 621 -615 559 40 52 -947 646 138 -371 975 -353 240 95],[95 240 -353 975 -371 138 646 -947 52 40 559 -615 621 -718 510 -322 -214 -520 949 678 -700 -433 -294 -676 -518 -686 -166 428 -511 721 533 -488 946 -487 -505 -756 682],true
[670 -424 -1000 -10 -592 641 414 493 -659 -573 250 239 -380 -104 -622 -727 603 17 986 847 -215 716 946 -629 -834 -21 495 -252 388 -345 491 -748 -708 971 299 -448 356 773 28],[28 773 356 -448 299 971 -708 -748 491 -345 388 -252 495 -21 -834 -629 946 716 -215 847 986 17 603 -727 -622 -104 -380 239 250 -573 -659 493 414 641 -592 -10 -1000 -424 670],true
[-378 966 -777 960 -963 -70 646 142 -829 -475 -624 736 -581 -123 130 516 -443 467],[467 -443 516 130 -123 -581 736 -624 -475 -829 142 646 -70 -963 960 -777 966 -378],true
[932 -145 -265 583 -266 236 -737 719 -764 -873 -3 348 -15 582 -125 -83 696 312 741 799 -489 -857 -858 -175 871 -83 -179 -601 -319 55 -861 467 774 323 -538 275 962 -93 398 779 -541 -481 -805 236 -939],[-939 236 -805 -481 -541 779 398 -93 962 275 -538 323 774 467 -861 55 -319 -601 -179 -83 871 -175 -858 -857 -489 799 741 312 696 -83 -125 582 -15 348 -3 -873 -764 719 -737 236 -266 583 -265 -145 932],true
[908 356 -673 527 -216 -174 231 -757 625 377 -691 -281 381 844 -929 -53 -43 -910 -716 -480 -459 -595 661 381 274 -895 -294 -685 76 51 -526 652 -820 18 -858 141 -231 685 -241 -809 151 561 302 -323 -167 -965 -212 770 -233],[-233 770 -212 -965 -167 -323 302 561 151 -809 -241 685 -231 141 -858 18 -820 652 -526 51 76 -685 -294 -895 274 381 661 -595 -459 -480 -716 -910 -43 -53 -929 844 381 -281 -691 377 625 -757 231 -174 -216 527 -673 356 908],true
[550 -495 -675 839 986 -117 -73 326 -840 -744 938 -770 161 772 908 714 -274 996 455 935 -810 226 -45 271 -202 -689 383],[383 -689 -202 271 -45 226 -810 935 455 996 -274 714 908 772 161 -770 938 -744 -840 326 -73 -117 986 839 -675 -495 550],true
[581 -867 -951 403 -296 -759 591 303 -688 339 466 537 -917 -221 -349 -419 -483 220 -776 210 557 -924],[-924 557 210 -776 220 -483 -419 -349 -221 -917 537 466 339 -688 303 591 -759 -296 403 -951 -867 581],true
[-34 216 -465 -545 -334 -444 550],[550 -444 -334 -545 -465 216 -34],true
[-934 -347 419 -93 541],[541 -93 419 -347 -934],true
[953 164 -499 668 306 362 864 -278],[-278 864 362 306 668 -499 164 953],true
[-697 -512 -792 -563 -130 -191 -989 787 815 754 -537 -667 -662],[-662 -667 -537 754 815 787 -989 -191 -130 -563 -792 -512 -697],true
[-59 633 -575 813 890 785 530 -632 726 395 502 -703 -730 -808 966 139 523 -900 -726 498 -74 24 -28 246 965 -938 -94 -343 -364 297 255 348 -708],[-708 348 255 297 -364 -343 -94 -938 965 246 -28 24 -74 498 -726 -900 523 139 966 -808 -730 -703 502 395 726 -632 530 785 890 813 -575 633 -59],true
