train_input_1,train_output_1
-10000,small
0,small
980,small
995,small
996,small
997,small
998,small
999,small
1000,
1001,
1002,
1003,
1004,
1020,
1980,
1995,
1996,
1997,
1998,
1999,
2000,large
2001,large
2002,large
2003,large
2004,large
2020,large
10000,large
-8363,small
-9241,small
-7476,small
-3524,small
1180,
2342,large
-3887,small
7169,large
9323,large
-8793,small
9452,large
-9734,small
-1242,small
5381,large
7725,large
-5448,small
5930,large
-3546,small
-2813,small
3931,large
2938,large
-3271,small
-7245,small
-1467,small
-3990,small
-5505,small
-9082,small
-1033,small
8701,large
-9558,small
-2908,small
-1782,small
-9273,small
5809,large
6057,large
2171,large
878,small
-765,small
-587,small
9448,large
-3987,small
-3782,small
8787,large
1401,
5656,large
2742,large
-4903,small
-7998,small
-8015,small
-290,small
-4585,small
4857,large
-2785,small
-2810,small
6570,large
599,small
-1627,small
-5938,small
-5756,small
8610,large
-7978,small
-451,small
-2116,small
3729,large
-982,small
-2407,small
3677,large
-8921,small
9987,large
-3907,small
-2044,small
5538,large
9152,large
test_input_1,test_output_1
980,small
981,small
982,small
983,small
984,small
985,small
986,small
987,small
988,small
989,small
990,small
991,small
992,small
993,small
994,small
995,small
996,small
997,small
998,small
999,small
1000,
1001,
1002,
1003,
1004,
1005,
1006,
1007,
1008,
1009,
1010,
1011,
1012,
1013,
1014,
1015,
1016,
1017,
1018,
1019,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,large
2001,large
2002,large
2003,large
2004,large
2005,large
2006,large
2007,large
2008,large
2009,large
2010,large
2011,large
2012,large
2013,large
2014,large
2015,large
2016,large
2017,large
2018,large
2019,large
-2965,small
-8856,small
1939,
-3918,small
-5003,small
-6173,small
6084,large
-6396,small
4767,large
308,small
7951,large
-7145,small
-559,small
1593,
-8648,small
2984,large
-4468,small
8217,large
4463,large
3770,large
-8933,small
-6391,small
-6005,small
-4134,small
-6473,small
-2493,small
746,small
-5240,small
9060,large
-5597,small
-6816,small
6842,large
-875,small
-658,small
662,small
-883,small
6260,large
-2413,small
8074,large
-4922,small
3355,large
-3506,small
9208,large
8773,large
1437,
5816,large
-5606,small
1985,
6860,large
1574,
-2213,small
-2663,small
-2616,small
-5148,small
-4627,small
390,small
-5323,small
-3135,small
-5972,small
5950,large
5660,large
-4133,small
-5203,small
6701,large
-2519,small
-922,small
1723,
-2801,small
18,small
-7968,small
6583,large
-5762,small
-4348,small
-310,small
745,small
1939,
-3642,small
-943,small
-7524,small
3728,large
-974,small
-1278,small
-845,small
-1699,small
-8323,small
-1896,small
227,small
8790,large
-8409,small
1882,
-5865,small
241,small
-9710,small
-6592,small
-8874,small
8695,large
-5733,small
-3114,small
3277,large
-8964,small
3471,large
6740,large
2499,large
5183,large
6469,large
1126,
-9900,small
8949,large
8098,large
3427,large
-843,small
3204,large
-2966,small
-2121,small
7615,large
5109,large
-7562,small
1312,
989,small
-5731,small
5436,large
7270,large
8143,large
-687,small
-4314,small
9219,large
-786,small
319,small
779,small
-8332,small
-3830,small
-1431,small
7536,large
-5927,small
7215,large
-4874,small
580,small
5264,large
-1855,small
-9844,small
9800,large
6947,large
-8173,small
2595,large
-713,small
-1952,small
6287,large
6950,large
-7132,small
5784,large
-3788,small
-1799,small
-3008,small
-5363,small
-300,small
5768,large
8955,large
-353,small
-7477,small
-319,small
5808,large
9376,large
-9644,small
2156,large
4636,large
7326,large
-4470,small
-3449,small
-2577,small
3852,large
-8363,small
-1011,small
-7308,small
-832,small
1681,
327,small
-1391,small
7145,large
7445,large
5089,large
