train_input_1,train_input_2,train_input_3,train_input_4,train_output_1
0,0,0,0,0
-44,-44,-7,-13,-44
0,4,-99,-33,-99
-22,-22,-22,-22,-22
99,100,99,100,99
17,17,17,78,17
-31,-86,-86,-86,-86
-26,-26,-56,-26,-56
-58,-58,-58,44,-58
33,33,25,33,25
-65,-67,-67,-67,-67
14,24,24,24,14
-93,15,15,15,-93
-52,47,-52,-52,-52
78,78,78,-12,-12
-89,-89,-89,-89,-89
6,6,6,6,6
-54,-54,-54,-54,-54
-57,-57,-57,-57,-57
94,94,94,94,94
38,48,13,71,13
6,63,86,26,6
91,13,12,64,12
46,65,3,34,3
33,64,33,100,33
7,64,74,0,0
33,66,68,6,6
5,5,42,52,5
64,62,18,12,12
53,11,24,44,11
89,98,62,91,62
70,51,61,19,19
8,72,76,11,8
99,88,12,1,1
18,13,23,54,13
86,96,63,65,63
12,5,26,66,5
62,18,94,40,18
17,2,6,48,2
22,36,85,65,22
91,-81,-58,-36,-81
55,29,-27,-35,-35
-9,74,95,-76,-76
-68,-36,76,-21,-68
-24,-45,100,-9,-45
-52,-69,55,-1,-69
16,75,-16,59,-16
-34,-99,-42,-57,-99
27,-61,20,-3,-61
-49,72,-37,30,-49
-48,-18,-65,-64,-65
75,22,95,39,22
-16,-40,-51,30,-51
-63,-41,18,-88,-88
30,-88,62,8,-88
-30,-73,43,-92,-92
-15,-36,-1,-35,-36
100,-27,8,-12,-27
7,58,3,-81,-81
-62,-1,-65,-97,-97
93,34,88,55,34
80,46,48,18,18
61,-65,19,-15,-65
-65,-38,90,-48,-65
-98,-60,68,-35,-98
10,22,75,49,10
-24,-18,-19,40,-24
70,-51,-19,53,-51
-76,47,-38,-5,-76
-13,-38,-38,-4,-38
30,-34,-89,-68,-89
74,-46,-27,2,-46
-16,55,14,-46,-46
-99,-88,-87,-56,-99
-82,-33,-37,10,-82
59,66,68,-31,-31
89,2,48,-61,-61
-2,68,19,41,-2
-24,99,-46,3,-46
22,-25,11,26,-25
-51,-30,77,62,-51
-79,-75,-50,50,-79
-45,-36,-13,63,-45
82,-7,99,-75,-75
-12,3,62,-18,-18
-46,92,-63,-27,-63
-84,-19,-16,28,-84
-70,-91,-29,-69,-91
-37,44,6,34,-37
-88,-99,-34,-33,-99
-94,70,-1,-24,-94
13,-46,-17,40,-46
-58,36,-7,71,-58
-13,55,-33,-100,-100
-24,57,59,99,-24
31,-88,-36,-12,-88
-99,16,-7,-13,-99
34,-17,97,3,-17
47,-100,-79,-46,-100
-73,-59,65,20,-73
test_input_1,test_input_2,test_input_3,test_input_4,test_output_1
68,-64,-64,-64,-64
15,15,15,-74,-74
11,11,91,11,11
-8,-82,-8,-8,-82
28,-90,-90,-90,-90
77,-83,77,77,-83
99,57,57,57,57
-2,-92,-2,-2,-92
-48,-61,-48,-48,-61
1,-99,1,1,-99
-95,34,34,34,-95
-83,-47,-83,-83,-83
24,-77,24,24,-77
5,5,5,61,5
-72,-72,-85,-72,-85
29,29,29,44,29
-4,-4,-4,63,-4
-83,-83,-87,-83,-87
-59,-59,7,-59,-59
-70,-70,-70,88,-70
-54,42,42,42,-54
-61,-61,-43,-61,-61
56,56,56,-100,-100
-90,-90,-90,17,-90
-44,23,-44,-44,-44
-27,20,20,20,-27
-83,-83,47,-83,-83
-60,-60,-16,-60,-60
92,47,47,47,47
-70,-70,65,-70,-70
-33,-33,-33,26,-33
96,96,96,19,19
-18,65,-18,-18,-18
16,16,16,82,16
-33,-33,-33,91,-33
-82,20,-82,-82,-82
-75,-56,-56,-56,-75
-21,-21,-21,-95,-95
11,-52,-52,-52,-52
69,69,69,-30,-30
-28,-28,72,-28,-28
-28,-48,-28,-28,-48
-25,-25,87,-25,-25
12,12,12,-79,-79
36,36,51,36,36
-70,-50,-50,-50,-70
30,30,30,33,30
46,46,72,46,46
57,57,37,57,37
-71,-94,-71,-71,-94
-38,87,87,87,-38
-67,42,42,42,-67
32,32,32,-82,-82
35,35,35,4,4
-60,-71,-71,-71,-71
15,38,38,38,15
29,93,93,93,29
96,-12,-12,-12,-12
-50,-50,-31,-50,-50
-66,-87,-87,-87,-87
-57,-48,-48,-48,-57
-75,-75,23,-75,-75
26,26,26,1,1
-62,-62,78,-62,-62
-23,-23,86,-23,-23
-5,-94,-5,-5,-94
21,12,21,21,12
64,96,96,96,64
-95,-95,-23,-95,-95
46,46,46,-21,-21
-95,17,17,17,-95
32,32,32,53,32
-22,-22,-20,-22,-22
47,-14,-14,-14,-14
-81,-81,-81,65,-81
29,63,63,63,29
-24,-28,-28,-28,-28
51,51,9,51,9
-62,-62,-62,-51,-62
72,46,46,46,46
75,6,6,6,6
88,88,55,88,55
-37,-37,-37,-49,-49
50,53,50,50,50
-1,26,-1,-1,-1
-19,-85,-19,-19,-85
-59,92,92,92,-59
21,21,41,21,21
-49,44,44,44,-49
92,29,29,29,29
67,60,67,67,60
-29,35,-29,-29,-29
-95,3,3,3,-95
22,-17,-17,-17,-17
22,76,76,76,22
-64,40,40,40,-64
51,51,51,83,51
18,-11,-11,-11,-11
-74,-74,-74,-23,-74
37,37,85,37,37
83,83,83,83,83
-87,-87,-87,-87,-87
48,48,48,48,48
-78,-78,-78,-78,-78
89,89,89,89,89
90,90,90,90,90
-30,-30,-30,-30,-30
39,39,39,39,39
18,18,18,18,18
-90,-90,-90,-90,-90
70,70,70,70,70
86,86,86,86,86
-92,-92,-92,-92,-92
24,24,24,24,24
46,46,46,46,46
2,2,2,2,2
45,45,45,45,45
-83,-83,-83,-83,-83
-1,-1,-1,-1,-1
-29,-29,-29,-29,-29
37,37,37,37,37
61,61,61,61,61
-4,-4,-4,-4,-4
29,29,29,29,29
74,74,74,74,74
1,1,1,1,1
55,55,55,55,55
39,39,39,39,39
72,72,72,72,72
-84,-84,-84,-84,-84
0,0,0,0,0
-97,-97,-97,-97,-97
23,23,23,23,23
79,79,79,79,79
31,31,31,31,31
-9,-9,-9,-9,-9
-29,-29,-29,-29,-29
62,62,62,62,62
-52,-52,-52,-52,-52
59,59,59,59,59
42,42,42,42,42
36,36,36,36,36
-21,-21,-21,-21,-21
1,1,1,1,1
24,24,24,24,24
61,61,61,61,61
59,59,59,59,59
42,42,42,42,42
30,30,30,30,30
-69,-69,-69,-69,-69
12,12,12,12,12
70,70,70,70,70
-22,-22,-22,-22,-22
-100,-100,-100,-100,-100
-50,-50,-50,-50,-50
-7,-7,-7,-7,-7
-81,-81,-81,-81,-81
-78,-78,-78,-78,-78
-23,-23,-23,-23,-23
0,0,0,0,0
-27,-27,-27,-27,-27
-19,-19,-19,-19,-19
